,Place,Rating,Category,Distance,Duration,Timing,Latitude,Longitude,Ranking
0,Channarayaswamy betta,4.7,Hills,36.68497045,4.467398818,D,13.3866,77.6674,1
1,Savandurga,4.6,Hills,35.8684285,3.43473714,D M A ,12.916,77.2978,2
2,"Wonder La water park, Jadenahalli",4.5,Amusement Park,32.53765841,7.301506337,A E,12.836,77.402,5
3,Ramadevarabetta,4.5,Hills,46.20035106,3.848014042,M A E,12.7563,77.3037,7
4,Bheemeshwari ,4.5,Parks/Lakes,89.81800084,6.592720034,M A E,12.3124,77.2778,13
5,Kalawara betta (Skandagiri),4.4,Hills,40.37369393,6.614947757,D M,13.4173,77.6827,4
6,"Antaragange, Hogari",4.4,Hills,55.63285511,6.225314205,D A E,13.1494,78.0978,8
7,Bilikal Rangaswamy Betta,4.4,Hills,56.91530303,6.276612121,M A,12.5549,77.5118,9
8,"Fun World , Bangalore",4,Amusement Park,6.248141368,1.249925655,M A E,13.0068,77.591,6
9,Nandi Hill,4,Hills,35.38383462,3.415353385,D M A E,13.37,77.6848,3
10,Devarayanadurga,4,Hills,53.49406441,5.139762576,M A,13.3741,77.2143,11
11,Chunchi Falls,3.7,Waterfall,80.33120228,5.213248091,M A,12.3515,77.4459,14
12,Avalabetta,3.5,Hills,57.55899336,6.302359734,D M A E,13.5775,77.673,12
13,Innovative Film City,3.3,Amusement Park,37.0473395,7.48189358,M A E,12.7767,77.4157,10
